"RelativePath","LineNumber","Pattern","Text"
"01-business\DELIVERY_POLICY.md","110","â€”","- **Free delivery above a minimum order threshold** (exact Rs. amount TBD once real average-order-value data exists from the first weeks of live orders) â€” common promotional pattern, low cost to implement since it's just a checkout rule"
"01-business\DELIVERY_POLICY.md","111","â€”","- **Distance-based pricing deferred** â€” adds complexity (needs real-time distance calculation) that isn't justified until order volume is established"
"01-business\DELIVERY_POLICY.md","320","Â","Â© 2026 Telepizza Pakistan"
"01-business\FRANCHISE_MODEL.md","1","ðŸ","# ðŸ¢ FRANCHISE MODEL"
"01-business\FRANCHISE_MODEL.md","22","â€”","âœ… **Confirmed by founder (2026-07-10): franchising is a real, intended goal for Telepizza**, not just speculative scope. This document can be treated as an actual roadmap item going forward, sequenced per `BUSINESS_MODEL.md`'s Growth Strategy (Phase 3: expand within Multan â†’ Phase 4: franchise network) â€” i.e., still a later-stage goal, not something to build before the 2 existing branches are running well."
"01-business\FRANCHISE_MODEL.md","369","Â","Â© 2026 Telepizza Pakistan"
"01-business\LOYALTY_PROGRAM.md","1","ðŸ","# ðŸŽ LOYALTY PROGRAM"
"01-business\LOYALTY_PROGRAM.md","22","â€”","âš ï¸ **Sequencing note:** A loyalty program needs order history to work â€” and Telepizza doesn't have digital order history yet (orders currently come by phone call). This document is reasonable to have as a *future design*, but building it before Phase 7 (Website) and real online orders exist would mean building reward logic with no real data to run on. Treat this as Phase 8+ work, not something to build alongside the website."
"01-business\LOYALTY_PROGRAM.md","65","â€”","âš ï¸ Threshold below is a placeholder example, not a decided value â€” pick real numbers based on Telepizza's actual order volume once available, not before."
"01-business\LOYALTY_PROGRAM.md","69","â€”","- 10 completed orders or qualifying annual spend *(illustrative â€” confirm real threshold later)*"
"01-business\LOYALTY_PROGRAM.md","81","â€”","âš ï¸ Same caveat â€” placeholder threshold."
"01-business\LOYALTY_PROGRAM.md","85","â€”","- 25 completed orders or qualifying annual spend *(illustrative â€” confirm real threshold later)*"
"01-business\LOYALTY_PROGRAM.md","367","Â","Â© 2026 Telepizza Pakistan"
"01-business\PRICING_STRATEGY.md","1","ðŸ","# ðŸ’° PRICING STRATEGY"
"01-business\PRICING_STRATEGY.md","46","â€”","âš ï¸ **Important: the prices below are illustrative placeholders only, not confirmed Telepizza prices.** An earlier draft presented specific numbers (Rs. 1,299, Rs. 2,199, Rs. 699) as if they were real â€” they were not sourced from Telepizza and should not be treated as fact. Research found one real data point: a bundle deal observed at **Rs. 1,899** (via a food vlogger's post), and a general price tier of roughly **Rs. 1,000â€“2,000 per person**. Everything else needs to come directly from Telepizza before this table is real:"
"01-business\PRICING_STRATEGY.md","50","â€”","| Small Pizza | *TBD â€” confirm with Telepizza* | *TBD* |"
"01-business\PRICING_STRATEGY.md","51","â€”","| Large Pizza | *TBD â€” confirm with Telepizza* | *TBD* |"
"01-business\PRICING_STRATEGY.md","52","â€”","| Zinger Burger | *TBD â€” confirm with Telepizza* | *TBD* |"
"01-business\PRICING_STRATEGY.md","53","â€”","| (Reference) Bundle deal | Rs. 1,899 *(one verified data point, may not be current)* | â€” |"
"01-business\PRICING_STRATEGY.md","142","â€“","Monday â€“ Thursday"
"01-business\PRICING_STRATEGY.md","144","â€“","2:00 PM â€“ 5:00 PM"
"01-business\PRICING_STRATEGY.md","355","Â","Â© 2026 Telepizza Pakistan"
"01-business\SWOT_ANALYSIS.md","1","ðŸ","# ðŸ“Š SWOT ANALYSIS"
"01-business\SWOT_ANALYSIS.md","221","â€”","The most concrete competitive threat is **Johnnyboy's Pizza**, literally the same block in Royal Orchard, currently rated higher (4.5â˜… vs Telepizza's 4.3â˜…) â€” though their recent reviews show growing consistency complaints (see `COMPETITOR_ANALYSIS.md`). This is a real, immediate, local threat â€” not a generic ""competitors exist"" statement."
"01-business\SWOT_ANALYSIS.md","388","Â","Â© 2026 Telepizza Pakistan"
"01-business\TARGET_AUDIENCE.md","1","ðŸ","# ðŸŽ¯ TARGET AUDIENCE"
"01-business\TARGET_AUDIENCE.md","30","ðŸ","## ðŸ‘¨â€ðŸ‘©â€ðŸ‘§ Families"
"01-business\TARGET_AUDIENCE.md","53","ðŸ","## ðŸŽ“ Students"
"01-business\TARGET_AUDIENCE.md","75","ðŸ","## ðŸ’¼ Office Workers"
"01-business\TARGET_AUDIENCE.md","97","ðŸ","## ðŸ‘¨â€ðŸ’» Young Professionals"
"01-business\TARGET_AUDIENCE.md","121","ðŸ","## ðŸ¢ Corporate Clients"
"01-business\TARGET_AUDIENCE.md","138","ðŸ","## ðŸŽ‰ Event Customers"
"01-business\TARGET_AUDIENCE.md","157","â€”","âš ï¸ **These are illustrative/hypothetical personas, not real customer research.** No actual Telepizza customer data (names, ages, ordering frequency) was collected or exists yet in this project. They're useful as thinking tools for design discussions, but should not be cited as findings or shown to Telepizza as ""customer research"" â€” that would misrepresent invented examples as real data."
"01-business\TARGET_AUDIENCE.md","159","â€“","## Illustrative Persona 1 â€“ ""The Student"" (hypothetical)"
"01-business\TARGET_AUDIENCE.md","167","â€“","## Illustrative Persona 2 â€“ ""The Family Orderer"" (hypothetical)"
"01-business\TARGET_AUDIENCE.md","170","â€”","- **Real version needs confirmation â€” e.g., via a simple question at checkout or informal conversation with regular walk-in customers**"
"01-business\TARGET_AUDIENCE.md","174","â€“","## Illustrative Persona 3 â€“ ""The Office/Corporate Orderer"" (hypothetical)"
"01-business\TARGET_AUDIENCE.md","177","â€”","- **No evidence yet this segment exists for Telepizza specifically â€” corporate demand should be validated before building corporate-specific features (invoicing, credit terms), not assumed**"
"01-business\TARGET_AUDIENCE.md","181","â€”","See `customer-journey.md` for verified findings: real reviewers mention 3-year loyalty, praise for beverages/desserts, and specific complaints about delivery time and food temperature. This is thin compared to full personas, but it's real â€” unlike the personas above, which are placeholders until real data exists."
"01-business\TARGET_AUDIENCE.md","240","â€”","**Confirmed real pain points** (from actual Telepizza reviews â€” see `customer-journey.md`):"
"01-business\TARGET_AUDIENCE.md","252","â€”","The platform should minimize these through automation and operational excellence â€” but the confirmed list above should drive Phase 3 priorities, since it's evidence-based rather than assumed."
"01-business\TARGET_AUDIENCE.md","316","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\AI\AI_PLATFORM_REQUIREMENTS.md","1","ðŸ","# ðŸ¤– AI PLATFORM REQUIREMENTS"
"02-requirements\AI\AI_PLATFORM_REQUIREMENTS.md","463","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Applications\ADMIN_PANEL_REQUIREMENTS.md","1","ðŸ","# ðŸ¢ ADMIN PANEL REQUIREMENTS"
"02-requirements\Applications\ADMIN_PANEL_REQUIREMENTS.md","419","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Applications\KITCHEN_DASHBOARD_REQUIREMENTS.md","1","ðŸ","# ðŸ³ KITCHEN DASHBOARD REQUIREMENTS"
"02-requirements\Applications\KITCHEN_DASHBOARD_REQUIREMENTS.md","370","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Applications\MOBILE_APP_REQUIREMENTS.md","1","ðŸ","# ðŸ“± MOBILE APP REQUIREMENTS"
"02-requirements\Applications\MOBILE_APP_REQUIREMENTS.md","379","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Applications\POS_REQUIREMENTS.md","1","ðŸ","# ðŸ›’ POS SYSTEM REQUIREMENTS"
"02-requirements\Applications\POS_REQUIREMENTS.md","415","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Applications\RIDER_APP_REQUIREMENTS.md","1","ðŸ","# ðŸ›µ RIDER APP REQUIREMENTS"
"02-requirements\Applications\RIDER_APP_REQUIREMENTS.md","291","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Applications\WEBSITE_REQUIREMENTS.md","1","ðŸ","# ðŸŒ WEBSITE REQUIREMENTS"
"02-requirements\Applications\WEBSITE_REQUIREMENTS.md","400","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Business\CRM_REQUIREMENTS.md","1","ðŸ","# ðŸ‘¥ CRM REQUIREMENTS"
"02-requirements\Business\CRM_REQUIREMENTS.md","22","Â","The CRM System provides a complete 360Â° customer view by combining customer profiles, order history, loyalty, support interactions, marketing campaigns, and AI-driven insights."
"02-requirements\Business\CRM_REQUIREMENTS.md","344","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Business\FINANCE_REQUIREMENTS.md","1","ðŸ","# ðŸ’° FINANCE REQUIREMENTS"
"02-requirements\Business\FINANCE_REQUIREMENTS.md","394","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Business\HR_REQUIREMENTS.md","1","ðŸ","# ðŸ‘¥ HUMAN RESOURCE MANAGEMENT REQUIREMENTS"
"02-requirements\Business\HR_REQUIREMENTS.md","405","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Business\REPORTING_REQUIREMENTS.md","1","ðŸ","# ðŸ“Š REPORTING REQUIREMENTS"
"02-requirements\Business\REPORTING_REQUIREMENTS.md","399","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Core\REQUIREMENTS.md","1","ðŸ","# ðŸ“‹ SOFTWARE REQUIREMENTS SPECIFICATION (SRS)"
"02-requirements\Core\REQUIREMENTS.md","418","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Operations\GOODS_RECEIVING_REQUIREMENTS.md","1","ðŸ","# ðŸ“¥ GOODS RECEIVING REQUIREMENTS"
"02-requirements\Operations\GOODS_RECEIVING_REQUIREMENTS.md","351","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Operations\INVENTORY_REQUIREMENTS.md","1","ðŸ","# ðŸ“¦ INVENTORY REQUIREMENTS"
"02-requirements\Operations\INVENTORY_REQUIREMENTS.md","399","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Operations\ORDER_MANAGEMENT_REQUIREMENTS.md","1","ðŸ","# ðŸ“¦ ORDER MANAGEMENT REQUIREMENTS"
"02-requirements\Operations\ORDER_MANAGEMENT_REQUIREMENTS.md","461","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Operations\PURCHASE_REQUIREMENTS.md","1","ðŸ","# ðŸ›’ PURCHASE REQUIREMENTS"
"02-requirements\Operations\PURCHASE_REQUIREMENTS.md","401","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Operations\STOCK_TRANSFER_REQUIREMENTS.md","1","ðŸ","# ðŸšš STOCK TRANSFER REQUIREMENTS"
"02-requirements\Operations\STOCK_TRANSFER_REQUIREMENTS.md","400","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Operations\SUPPLIER_MANAGEMENT_REQUIREMENTS.md","1","ðŸ","# ðŸš› SUPPLIER MANAGEMENT REQUIREMENTS"
"02-requirements\Operations\SUPPLIER_MANAGEMENT_REQUIREMENTS.md","260","â€“","â˜…â˜…â˜…â˜…â˜… (1â€“5 Stars)"
"02-requirements\Operations\SUPPLIER_MANAGEMENT_REQUIREMENTS.md","392","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Operations\SUPPLIER_RETURN_REQUIREMENTS.md","372","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Operations\WAREHOUSE_REQUIREMENTS.md","1","ðŸ","# ðŸ¬ WAREHOUSE REQUIREMENTS"
"02-requirements\Operations\WAREHOUSE_REQUIREMENTS.md","431","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Security\API_REQUIREMENTS.md","1","ðŸ","# ðŸ”Œ API REQUIREMENTS"
"02-requirements\Security\API_REQUIREMENTS.md","387","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Security\AUDIT_LOG_REQUIREMENTS.md","1","ðŸ","# ðŸ“œ AUDIT LOG REQUIREMENTS"
"02-requirements\Security\AUDIT_LOG_REQUIREMENTS.md","392","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Security\AUTHENTICATION_REQUIREMENTS.md","1","ðŸ","# ðŸ” AUTHENTICATION REQUIREMENTS"
"02-requirements\Security\AUTHENTICATION_REQUIREMENTS.md","344","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Security\AUTHORIZATION_REQUIREMENTS.md","1","ðŸ","# ðŸ›¡ï¸ AUTHORIZATION REQUIREMENTS"
"02-requirements\Security\AUTHORIZATION_REQUIREMENTS.md","386","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Security\BACKUP_DISASTER_RECOVERY_REQUIREMENTS.md","1","ðŸ","# ðŸ’¾ BACKUP & DISASTER RECOVERY REQUIREMENTS"
"02-requirements\Security\BACKUP_DISASTER_RECOVERY_REQUIREMENTS.md","370","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Security\NOTIFICATION_REQUIREMENTS.md","1","ðŸ","# ðŸ”” NOTIFICATION REQUIREMENTS"
"02-requirements\Security\NOTIFICATION_REQUIREMENTS.md","382","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Security\PAYMENT_GATEWAY_REQUIREMENTS.md","1","ðŸ","# ðŸ’³ PAYMENT GATEWAY REQUIREMENTS"
"02-requirements\Security\PAYMENT_GATEWAY_REQUIREMENTS.md","396","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Security\SECURITY_REQUIREMENTS.md","1","ðŸ","# ðŸ”’ SECURITY REQUIREMENTS"
"02-requirements\Security\SECURITY_REQUIREMENTS.md","388","Â","Â© 2026 Telepizza Pakistan"
"02-requirements\Security\SETTINGS_REQUIREMENTS.md","384","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\AI_ARCHITECTURE.md","1","ðŸ","# ðŸ¤– AI ARCHITECTURE"
"03-architecture\AI_ARCHITECTURE.md","388","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\API_ARCHITECTURE.md","1","ðŸ","# ðŸŒ API ARCHITECTURE"
"03-architecture\API_ARCHITECTURE.md","472","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\BRANCHING_STRATEGY.md","1","ðŸ","# ðŸŒ¿ BRANCHING STRATEGY"
"03-architecture\BRANCHING_STRATEGY.md","356","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\CI_CD_PIPELINE.md","1","ðŸ","# ðŸ”„ CI/CD PIPELINE"
"03-architecture\CI_CD_PIPELINE.md","327","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\CODING_STANDARDS.md","1","ðŸ","# ðŸ’» CODING STANDARDS"
"03-architecture\CODING_STANDARDS.md","387","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\DATABASE_ARCHITECTURE.md","1","ðŸ","# ðŸ—„ï¸ DATABASE ARCHITECTURE"
"03-architecture\DATABASE_ARCHITECTURE.md","544","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\DATABASE_INDEX_STRATEGY.md","564","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\DATABASE_NAMING_CONVENTIONS.md","1","ðŸ","# ðŸ“š DATABASE NAMING CONVENTIONS"
"03-architecture\DATABASE_NAMING_CONVENTIONS.md","935","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\DATABASE_RELATIONSHIPS.md","1","ðŸ","# ðŸ”— DATABASE RELATIONSHIPS"
"03-architecture\DATABASE_RELATIONSHIPS.md","1526","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\DATABASE_SCHEMA.md","1","ðŸ","# ðŸ—„ï¸ DATABASE SCHEMA"
"03-architecture\DATABASE_SCHEMA.md","2324","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\DEPLOYMENT_ARCHITECTURE.md","1","ðŸ","# ðŸš€ DEPLOYMENT ARCHITECTURE"
"03-architecture\DEPLOYMENT_ARCHITECTURE.md","381","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\DEVOPS_ARCHITECTURE.md","305","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\DOMAIN_DRIVEN_DESIGN.md","1","ðŸ","# ðŸ§© DOMAIN DRIVEN DESIGN"
"03-architecture\DOMAIN_DRIVEN_DESIGN.md","593","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\EVENT_DRIVEN_ARCHITECTURE.md","371","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\FOLDER_STRUCTURE.md","1","ðŸ","# ðŸ“Š MONITORING ARCHITECTURE"
"03-architecture\FOLDER_STRUCTURE.md","349","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\GIT_STRATEGY.md","1","ðŸ","# ðŸŒ³ GIT STRATEGY"
"03-architecture\GIT_STRATEGY.md","290","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\IMPLEMENTATION_ROADMAP.md","1","ðŸ","# ðŸš€ IMPLEMENTATION ROADMAP"
"03-architecture\IMPLEMENTATION_ROADMAP.md","56","â€”","# Phase 1 â€” Foundation âœ…"
"03-architecture\IMPLEMENTATION_ROADMAP.md","76","â€”","# Phase 2 â€” Development Foundation"
"03-architecture\IMPLEMENTATION_ROADMAP.md","97","â€”","# Phase 3 â€” Database"
"03-architecture\IMPLEMENTATION_ROADMAP.md","119","â€”","# Phase 4 â€” Backend"
"03-architecture\IMPLEMENTATION_ROADMAP.md","154","â€”","# Phase 5 â€” Frontend"
"03-architecture\IMPLEMENTATION_ROADMAP.md","170","â€”","# Phase 6 â€” Mobile"
"03-architecture\IMPLEMENTATION_ROADMAP.md","186","â€”","# Phase 7 â€” Restaurant Operations"
"03-architecture\IMPLEMENTATION_ROADMAP.md","202","â€”","# Phase 8 â€” AI Platform"
"03-architecture\IMPLEMENTATION_ROADMAP.md","222","â€”","# Phase 9 â€” Testing"
"03-architecture\IMPLEMENTATION_ROADMAP.md","242","â€”","# Phase 10 â€” Production"
"03-architecture\IMPLEMENTATION_ROADMAP.md","481","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\INFRASTRUCTURE_ARCHITECTURE.md","1","ðŸ","# ðŸ—ï¸ INFRASTRUCTURE ARCHITECTURE"
"03-architecture\INFRASTRUCTURE_ARCHITECTURE.md","416","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\MICROSERVICES_ARCHITECTURE.md","1","ðŸ","# ðŸ—ï¸ MICROSERVICES ARCHITECTURE"
"03-architecture\MICROSERVICES_ARCHITECTURE.md","581","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\MONITORING_ARCHITECTURE.md","1","ðŸ","# ðŸ“Š MONITORING ARCHITECTURE"
"03-architecture\MONITORING_ARCHITECTURE.md","349","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\SECURITY_ARCHITECTURE.md","1","ðŸ","# ðŸ” SECURITY ARCHITECTURE"
"03-architecture\SECURITY_ARCHITECTURE.md","367","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\SYSTEM_ARCHITECTURE.md","1","ðŸ","# ðŸ›ï¸ SYSTEM ARCHITECTURE"
"03-architecture\SYSTEM_ARCHITECTURE.md","375","Â","Â© 2026 Telepizza Pakistan"
"03-architecture\TECH_STACK.md","1","ðŸ","# ðŸ› ï¸ TECH STACK"
"03-architecture\TECH_STACK.md","498","Â","Â© 2026 Telepizza Pakistan"
"04-engineering\BACKEND_PROJECT_STRUCTURE.md","1","ðŸ","# ðŸ—ï¸ BACKEND PROJECT STRUCTURE"
"04-engineering\DATABASE_SETUP_GUIDE.md","1","ðŸ","# ðŸ—„ï¸ DATABASE SETUP GUIDE"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","1","ðŸ","# ðŸ“š DEVELOPMENT DOCUMENTATION INDEX"
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","1","ðŸ","# ðŸ–¥ï¸ DEVELOPMENT ENVIRONMENT SETUP"
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","641","ðŸ","- ðŸ› Issues: GitHub Issues tab"
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","642","ðŸ","- ðŸ’¬ Discussions: GitHub Discussions"
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","643","ðŸ","- ðŸ“– Documentation: `/docs` folder"
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","644","ðŸ","- ðŸ”— Architecture: [SYSTEM_ARCHITECTURE.md](../03-architecture/SYSTEM_ARCHITECTURE.md)"
"04-engineering\DOCKER_CONTAINER_SETUP.md","1","ðŸ","# ðŸ³ DOCKER & CONTAINER SETUP GUIDE"
"04-engineering\FRONTEND_PROJECT_STRUCTURE.md","1","ðŸ","# ðŸŽ¨ FRONTEND PROJECT STRUCTURE"
"04-engineering\MOBILE_PROJECT_STRUCTURE.md","1","ðŸ","# ðŸ“± MOBILE PROJECT STRUCTURE"
"04-engineering\PACKAGE_JSON_SCRIPTS.md","1","ðŸ","# ðŸ“¦ INITIAL PACKAGE.JSON SCRIPTS"
"04-engineering\01-database\DATABASE_ENGINEERING.md","1","ðŸ","# ðŸ—„ï¸ DATABASE ENGINEERING"
"04-engineering\01-database\DATABASE_ENGINEERING.md","393","Â","Â© 2026 Telepizza Pakistan"
"04-engineering\01-database\DATABASE_MIGRATION_GUIDE.md","1","ðŸ","# ðŸ”„ DATABASE MIGRATION GUIDE"
"04-engineering\01-database\DATABASE_MIGRATION_GUIDE.md","299","Â","Â© 2026 Telepizza Pakistan"
"04-engineering\01-database\DATABASE_SEEDING.md","1","ðŸ","# ðŸŒ± DATABASE SEEDING"
"04-engineering\01-database\DATABASE_SEEDING.md","370","Â","Â© 2026 Telepizza Pakistan"
"04-engineering\01-database\ERD.md","1","ðŸ","# ðŸ—ºï¸ ENTITY RELATIONSHIP DIAGRAM (ERD)"
