"RelativePath","Classification","ValidUTF8","UTF8BOM","SuspiciousText","MatchedCodePoints","SizeBytes","Error"
"03-architecture\DEPLOYMENT_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","4784",""
"03-architecture\DEVOPS_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","4357",""
"03-architecture\DOMAIN_DRIVEN_DESIGN.md","VALID_UTF8_CLEAN","True","False","False","","7739",""
"03-architecture\EVENT_DRIVEN_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","5184",""
"03-architecture\FOLDER_STRUCTURE.md","VALID_UTF8_CLEAN","True","False","False","","4273",""
"03-architecture\GIT_STRATEGY.md","VALID_UTF8_CLEAN","True","False","False","","3617",""
"03-architecture\IMPLEMENTATION_ROADMAP.md","VALID_UTF8_CLEAN","True","False","False","","5620",""
"03-architecture\INFRASTRUCTURE_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","5829",""
"03-architecture\MICROSERVICES_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","8425",""
"03-architecture\MONITORING_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","4273",""
"03-architecture\SECURITY_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","5044",""
"03-architecture\SYSTEM_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","5334",""
"03-architecture\TECH_STACK.md","VALID_UTF8_CLEAN","True","False","False","","4628",""
"04-engineering\BACKEND_PROJECT_STRUCTURE.md","VALID_UTF8_CLEAN","True","False","False","","14176",""
"04-engineering\CICD_PIPELINE_SETUP.md","VALID_UTF8_CLEAN","True","False","False","","12406",""
"04-engineering\DATABASE_SETUP_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","1283",""
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","VALID_UTF8_CLEAN","True","False","False","","8210",""
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","VALID_UTF8_CLEAN","True","False","False","","10475",""
"04-engineering\DOCKER_CONTAINER_SETUP.md","VALID_UTF8_CLEAN","True","False","False","","13547",""
"04-engineering\FRONTEND_PROJECT_STRUCTURE.md","VALID_UTF8_CLEAN","True","False","False","","14517",""
"04-engineering\MOBILE_PROJECT_STRUCTURE.md","VALID_UTF8_CLEAN","True","False","False","","16894",""
"04-engineering\PACKAGE_JSON_SCRIPTS.md","VALID_UTF8_CLEAN","True","False","False","","2631",""
"04-engineering\01-database\DATABASE_ENGINEERING.md","VALID_UTF8_CLEAN","True","False","False","","3612",""
"04-engineering\01-database\DATABASE_MIGRATION_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","3498",""
"04-engineering\01-database\DATABASE_SEEDING.md","VALID_UTF8_CLEAN","True","False","False","","3949",""
"04-engineering\01-database\ERD.md","VALID_UTF8_CLEAN","True","False","False","","4871",""
"04-engineering\01-database\PRISMA_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4702",""
"04-engineering\02-api\API_ERROR_HANDLING.md","VALID_UTF8_CLEAN","True","False","False","","4340",""
"04-engineering\02-api\API_SPECIFICATIONS.md","VALID_UTF8_CLEAN","True","False","False","","4655",""
"04-engineering\02-api\API_VERSIONING.md","VALID_UTF8_CLEAN","True","False","False","","3634",""
"04-engineering\02-api\WEBHOOK_SPECIFICATIONS.md","VALID_UTF8_CLEAN","True","False","False","","4407",""
"04-engineering\03-backend\BACKEND_BLUEPRINT.md","VALID_UTF8_CLEAN","True","False","False","","4758",""
"04-engineering\03-backend\EVENT_HANDLERS.md","VALID_UTF8_CLEAN","True","False","False","","5383",""
"04-engineering\03-backend\MODULE_TEMPLATE.md","VALID_UTF8_CLEAN","True","False","False","","4462",""
"04-engineering\03-backend\NESTJS_GUIDELINES.md","VALID_UTF8_CLEAN","True","False","False","","4270",""
"04-engineering\04-frontend\ACCESSIBILITY_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","5026",""
"04-engineering\04-frontend\API_CLIENT_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4080",""
"04-engineering\04-frontend\CHART_STANDARDS.md","VALID_UTF8_CLEAN","True","False","False","","4550",""
"04-engineering\04-frontend\DASHBOARD_GUIDELINES.md","VALID_UTF8_CLEAN","True","False","False","","4611",""
"04-engineering\04-frontend\DATA_TABLE_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4250",""
"04-engineering\04-frontend\DESIGN_SYSTEM.md","VALID_UTF8_CLEAN","True","False","False","","3819",""
"04-engineering\04-frontend\DESIGN_TOKENS.md","VALID_UTF8_CLEAN","True","False","False","","4602",""
"04-engineering\04-frontend\EMPTY_STATES_AND_FEEDBACK.md","VALID_UTF8_CLEAN","True","False","False","","4330",""
"04-engineering\04-frontend\ERROR_HANDLING.md","VALID_UTF8_CLEAN","True","False","False","","3780",""
"04-engineering\04-frontend\FILE_UPLOAD_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4187",""
"04-engineering\04-frontend\FORM_PATTERNS.md","VALID_UTF8_CLEAN","True","False","False","","5113",""
"04-engineering\04-frontend\FORM_STANDARDS.md","VALID_UTF8_CLEAN","True","False","False","","4926",""
"04-engineering\04-frontend\FRONTEND_BLUEPRINT.md","VALID_UTF8_CLEAN","True","False","False","","3819",""
"04-engineering\04-frontend\FRONTEND_FOLDER_STRUCTURE.md","VALID_UTF8_CLEAN","True","False","False","","4590",""
"04-engineering\04-frontend\FRONTEND_SECURITY.md","VALID_UTF8_CLEAN","True","False","False","","5149",""
"04-engineering\04-frontend\ICONOGRAPHY_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4236",""
"04-engineering\04-frontend\INTERNATIONALIZATION.md","VALID_UTF8_CLEAN","True","False","False","","4157",""
"04-engineering\04-frontend\NAVIGATION_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4313",""
"04-engineering\04-frontend\PERFORMANCE_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4502",""
"04-engineering\04-frontend\ROUTING_STRATEGY.md","VALID_UTF8_CLEAN","True","False","False","","3557",""
"04-engineering\04-frontend\SEARCH_EXPERIENCE.md","VALID_UTF8_CLEAN","True","False","False","","4553",""
"04-engineering\04-frontend\STATE_MANAGEMENT.md","VALID_UTF8_CLEAN","True","False","False","","4782",""
"04-engineering\04-frontend\THEME_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","3504",""
"04-engineering\04-frontend\UI_COMPONENT_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4220",""
"04-engineering\05-mobile\ANALYTICS_AND_TELEMETRY.md","VALID_UTF8_CLEAN","True","False","False","","4615",""
"04-engineering\05-mobile\APP_RELEASE_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4056",""
"04-engineering\05-mobile\BACKGROUND_TASKS.md","VALID_UTF8_CLEAN","True","False","False","","4350",""
"04-engineering\05-mobile\BIOMETRIC_AUTH.md","VALID_UTF8_CLEAN","True","False","False","","4153",""
"04-engineering\05-mobile\CAMERA_AND_SCANNER.md","VALID_UTF8_CLEAN","True","False","False","","4221",""
"04-engineering\05-mobile\CRASH_REPORTING_AND_MONITORING.md","VALID_UTF8_CLEAN","True","False","False","","4338",""
"04-engineering\05-mobile\DEEP_LINKING.md","VALID_UTF8_CLEAN","True","False","False","","3553",""
"04-engineering\05-mobile\DEVICE_CAPABILITIES.md","VALID_UTF8_CLEAN","True","False","False","","3538",""
"04-engineering\05-mobile\DOMAIN_EVENT_CATALOG.md","VALID_UTF8_CLEAN","True","False","False","","5278",""
"04-engineering\05-mobile\EVENT_DRIVEN_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","5061",""
"04-engineering\05-mobile\FEATURE_FLAGS_AND_REMOTE_CONFIG.md","VALID_UTF8_CLEAN","True","False","False","","4811",""
"04-engineering\05-mobile\LOCAL_STORAGE_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4820",""
"04-engineering\05-mobile\LOCATION_SERVICES.md","VALID_UTF8_CLEAN","True","False","False","","3703",""
"04-engineering\05-mobile\MOBILE_API_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4228",""
"04-engineering\05-mobile\MOBILE_BLUEPRINT.md","VALID_UTF8_CLEAN","True","False","False","","4461",""
"04-engineering\05-mobile\MOBILE_COMPATIBILITY_MATRIX.md","VALID_UTF8_CLEAN","True","False","False","","4678",""
"04-engineering\05-mobile\MOBILE_COMPONENT_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4767",""
"04-engineering\05-mobile\MOBILE_DESIGN_SYSTEM.md","VALID_UTF8_CLEAN","True","False","False","","3952",""
"04-engineering\05-mobile\MOBILE_FOLDER_STRUCTURE.md","VALID_UTF8_CLEAN","True","False","False","","4475",""
"04-engineering\05-mobile\MOBILE_PERFORMANCE.md","VALID_UTF8_CLEAN","True","False","False","","4308",""
"04-engineering\05-mobile\MOBILE_SECURITY.md","VALID_UTF8_CLEAN","True","False","False","","4611",""
"04-engineering\05-mobile\OFFLINE_SYNC.md","VALID_UTF8_CLEAN","True","False","False","","4019",""
"04-engineering\05-mobile\PUSH_NOTIFICATION_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4311",""
"04-engineering\05-mobile\SECURITY_CHECKLIST.md","VALID_UTF8_CLEAN","True","False","False","","4905",""
"04-engineering\05-mobile\STORAGE_SCHEMA.md","VALID_UTF8_CLEAN","True","False","False","","3535",""
"04-engineering\05-mobile\SYNC_ENGINE_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","4844",""
"04-engineering\05-mobile\SYNC_PROTOCOL_SPECIFICATION.md","VALID_UTF8_CLEAN","True","False","False","","4542",""
"04-engineering\06-ai\00-overview\AI_REFERENCE_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","6006",""
"04-engineering\06-ai\00-overview\INDEX.md","VALID_UTF8_CLEAN","True","False","False","","5370",""
"04-engineering\06-ai\00-overview\README.md","VALID_UTF8_CLEAN","True","False","False","","3782",""
"04-engineering\06-ai\01-foundation\AI_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","4321",""
"04-engineering\06-ai\01-foundation\AI_CONSTITUTION.md","VALID_UTF8_CLEAN","True","False","False","","5539",""
"04-engineering\06-ai\01-foundation\AI_DECISION_ENGINE.md","VALID_UTF8_CLEAN","True","False","False","","4419",""
"04-engineering\06-ai\01-foundation\AI_ENGINEERING.md","VALID_UTF8_CLEAN","True","False","False","","4030",""
"04-engineering\06-ai\01-foundation\AI_GOVERNANCE.md","VALID_UTF8_CLEAN","True","False","False","","4490",""
"04-engineering\06-ai\01-foundation\AI_SECURITY.md","VALID_UTF8_CLEAN","True","False","False","","4536",""
"04-engineering\06-ai\02-agents\AGENT_DEVELOPMENT_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","3749",""
"04-engineering\06-ai\02-agents\AGENT_LIFECYCLE.md","VALID_UTF8_CLEAN","True","False","False","","4129",""
"04-engineering\06-ai\02-agents\AGENT_PERMISSION_MATRIX.md","VALID_UTF8_CLEAN","True","False","False","","5438",""
"04-engineering\06-ai\02-agents\AGENT_REGISTRY.md","VALID_UTF8_CLEAN","True","False","False","","4059",""
"04-engineering\06-ai\02-agents\AI_AGENT_COMMUNICATION_PROTOCOL.md","VALID_UTF8_CLEAN","True","False","False","","4529",""
"04-engineering\06-ai\02-agents\HUMAN_APPROVAL_WORKFLOWS.md","VALID_UTF8_CLEAN","True","False","False","","5102",""
"04-engineering\06-ai\03-prompts\PROMPT_ENGINEERING.md","VALID_UTF8_CLEAN","True","False","False","","3325",""
"04-engineering\06-ai\03-prompts\PROMPT_LIBRARY.md","VALID_UTF8_CLEAN","True","False","False","","3450",""
"04-engineering\06-ai\04-models\MODEL_CAPABILITY_MATRIX.md","VALID_UTF8_CLEAN","True","False","False","","3935",""
"04-engineering\06-ai\04-models\MODEL_ROUTING.md","VALID_UTF8_CLEAN","True","False","False","","4285",""
"04-engineering\06-ai\04-models\TOKEN_AND_COST_MANAGEMENT.md","VALID_UTF8_CLEAN","True","False","False","","3608",""
"04-engineering\06-ai\05-context\AI_MEMORY_ENGINE.md","VALID_UTF8_CLEAN","True","False","False","","4872",""
"04-engineering\06-ai\05-context\CONTEXT_ENGINE.md","VALID_UTF8_CLEAN","True","False","False","","4305",""
"04-engineering\06-ai\05-context\KNOWLEDGE_BASE_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","4077",""
"04-engineering\06-ai\05-context\RAG_ARCHITECTURE.md","VALID_UTF8_CLEAN","True","False","False","","4528",""
"04-engineering\06-ai\06-tools\MCP_INTEGRATION.md","VALID_UTF8_CLEAN","True","False","False","","4015",""
"04-engineering\06-ai\06-tools\TOOL_CALLING_STANDARD.md","VALID_UTF8_CLEAN","True","False","False","","4264",""
"04-engineering\06-ai\06-tools\TOOL_PERMISSION_MATRIX.md","VALID_UTF8_CLEAN","True","False","False","","4500",""
"04-engineering\06-ai\06-tools\TOOL_REGISTRY.md","VALID_UTF8_CLEAN","True","False","False","","4194",""
"04-engineering\06-ai\07-workflows\AI_RATE_LIMITING.md","VALID_UTF8_CLEAN","True","False","False","","4200",""
"04-engineering\06-ai\07-workflows\AI_WORKFLOW_ENGINE.md","VALID_UTF8_CLEAN","True","False","False","","5108",""
"04-engineering\06-ai\08-operations\AI_EVALUATION_FRAMEWORK.md","VALID_UTF8_CLEAN","True","False","False","","3959",""
"04-engineering\06-ai\08-operations\AI_OBSERVABILITY.md","VALID_UTF8_CLEAN","True","False","False","","4020",""
"04-engineering\06-ai\09-ai-workforce\AI_COLLABORATION_GUIDE.md","VALID_UTF8_CLEAN","True","False","False","","4717",""
"04-engineering\06-ai\09-ai-workforce\AI_COMPENSATION_MODEL.md","VALID_UTF8_CLEAN","True","False","False","","4305",""
"04-engineering\06-ai\09-ai-workforce\AI_DEPARTMENTS.md","VALID_UTF8_CLEAN","True","False","False","","5126",""
"04-engineering\06-ai\09-ai-workforce\AI_HIRING_AND_RETIREMENT.md","VALID_UTF8_CLEAN","True","False","False","","5070",""
"04-engineering\06-ai\09-ai-workforce\AI_JOB_DESCRIPTIONS.md","VALID_UTF8_CLEAN","True","False","False","","5451",""
"04-engineering\06-ai\09-ai-workforce\AI_KPI_FRAMEWORK.md","VALID_UTF8_CLEAN","True","False","False","","4515",""
"04-engineering\06-ai\09-ai-workforce\AI_ORGANIZATION_CHART.md","VALID_UTF8_CLEAN","True","False","False","","3954",""
"04-engineering\06-ai\09-ai-workforce\AI_PERFORMANCE_REVIEWS.md","VALID_UTF8_CLEAN","True","False","False","","4426",""
"04-engineering\07-testing\00-overview\INDEX.md","VALID_UTF8_CLEAN","True","False","False","","5431",""
"04-engineering\07-testing\00-overview\README.md","VALID_UTF8_CLEAN","True","False","False","","4008",""
"04-engineering\07-testing\00-overview\TESTING_STRATEGY.md","VALID_UTF8_CLEAN","True","False","False","","5089",""
"04-engineering\07-testing\01-unit\MOCKING_GUIDELINES.md","VALID_UTF8_CLEAN","True","False","False","","4635",""
"04-engineering\07-testing\01-unit\TEST_NAMING_CONVENTIONS.md","VALID_UTF8_CLEAN","True","False","False","","3510",""
"04-engineering\07-testing\01-unit\UNIT_TESTING_STANDARD.md","VALID_UTF8_CLEAN","True","False","False","","4216",""
"04-engineering\07-testing\02-integration\API_TESTING_STANDARD.md","VALID_UTF8_CLEAN","True","False","False","","4247",""
"04-engineering\07-testing\02-integration\DATABASE_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","4245",""
"04-engineering\07-testing\02-integration\INTEGRATION_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","4130",""
"04-engineering\07-testing\03-e2e\CROSS_PLATFORM_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","4571",""
"04-engineering\07-testing\03-e2e\E2E_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","3569",""
"04-engineering\07-testing\03-e2e\USER_JOURNEY_TESTS.md","VALID_UTF8_CLEAN","True","False","False","","4198",""
"04-engineering\07-testing\04-performance\LOAD_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","3535",""
"04-engineering\07-testing\04-performance\PERFORMANCE_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","4303",""
"04-engineering\07-testing\04-performance\SCALABILITY_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","4598",""
"04-engineering\07-testing\04-performance\STRESS_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","3874",""
"04-engineering\07-testing\05-security\AUTHENTICATION_TESTS.md","VALID_UTF8_CLEAN","True","False","False","","4236",""
"04-engineering\07-testing\05-security\AUTHORIZATION_TESTS.md","VALID_UTF8_CLEAN","True","False","False","","4974",""
"04-engineering\07-testing\05-security\PENETRATION_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","4511",""
"04-engineering\07-testing\05-security\SECURITY_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","4283",""
"04-engineering\07-testing\06-mobile\DEVICE_TESTING_MATRIX.md","VALID_UTF8_CLEAN","True","False","False","","4198",""
"04-engineering\07-testing\06-mobile\MOBILE_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","4172",""
"04-engineering\07-testing\06-mobile\OFFLINE_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","4285",""
"04-engineering\07-testing\07-ai\AI_REGRESSION_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","5288",""
"04-engineering\07-testing\07-ai\AI_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","3915",""
"04-engineering\07-testing\07-ai\MODEL_EVALUATION.md","VALID_UTF8_CLEAN","True","False","False","","4390",""
"04-engineering\07-testing\07-ai\PROMPT_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","3924",""
"04-engineering\07-testing\07-ai\RAG_TESTING.md","VALID_UTF8_CLEAN","True","False","False","","5916",""
"04-engineering\07-testing\08-automation\CI_TEST_PIPELINE.md","VALID_UTF8_CLEAN","True","False","False","","5127",""
"04-engineering\07-testing\08-automation\TEST_AUTOMATION.md","VALID_UTF8_CLEAN","True","False","False","","4283",""
"04-engineering\07-testing\08-automation\TEST_REPORTING.md","VALID_UTF8_CLEAN","True","False","False","","4439",""
"04-engineering\07-testing\09-quality\DEFECT_MANAGEMENT.md","VALID_UTF8_CLEAN","True","False","False","","5741",""
"04-engineering\07-testing\09-quality\QUALITY_GATES.md","VALID_UTF8_CLEAN","True","False","False","","5192",""
"04-engineering\07-testing\09-quality\RELEASE_CRITERIA.md","VALID_UTF8_CLEAN","True","False","False","","5412",""
"04-engineering\08-deployment\00-overview\INDEX.md","VALID_UTF8_CLEAN","True","False","False","","5513",""
"04-engineering\08-deployment\00-overview\README.md","VALID_UTF8_CLEAN","True","False","False","","3998",""
"04-engineering\08-deployment\01-strategy\DEPLOYMENT_CHECKLIST.md","VALID_UTF8_CLEAN","True","False","False","","4901",""
"04-engineering\08-deployment\01-strategy\DEPLOYMENT_STRATEGY.md","VALID_UTF8_CLEAN","True","False","False","","4862",""
"04-engineering\08-deployment\01-strategy\RELEASE_DEPLOYMENT_FLOW.md","VALID_UTF8_CLEAN","True","False","False","","4970",""
"04-engineering\08-deployment\02-environments\CONFIGURATION_MANAGEMENT.md","VALID_UTF8_CLEAN","True","False","False","","4711",""
"04-engineering\08-deployment\02-environments\ENVIRONMENT_MANAGEMENT.md","VALID_UTF8_CLEAN","True","False","False","","5047",""
"04-engineering\08-deployment\02-environments\SECRET_MANAGEMENT.md","VALID_UTF8_CLEAN","True","False","False","","4613",""
"04-engineering\08-deployment\03-containers\CONTAINER_REGISTRY.md","VALID_UTF8_CLEAN","True","False","False","","4574",""
"04-engineering\08-deployment\03-containers\DOCKER_STANDARD.md","VALID_UTF8_CLEAN","True","False","False","","4407",""
"04-engineering\08-deployment\03-containers\IMAGE_VERSIONING.md","VALID_UTF8_CLEAN","True","False","False","","4282",""
"04-engineering\08-deployment\04-kubernetes\AUTO_SCALING.md","VALID_UTF8_CLEAN","True","False","False","","4693",""
"04-engineering\08-deployment\04-kubernetes\HELM_STANDARDS.md","VALID_UTF8_CLEAN","True","False","False","","4035",""
"04-engineering\08-deployment\04-kubernetes\KUBERNETES_DEPLOYMENT.md","VALID_UTF8_CLEAN","True","False","False","","4444",""
"04-engineering\08-deployment\05-cicd\CI_CD_DEPLOYMENT.md","VALID_UTF8_CLEAN","True","False","False","","4255",""
"04-engineering\08-deployment\05-cicd\DEPLOYMENT_PIPELINES.md","VALID_UTF8_CLEAN","True","False","False","","4246",""
"04-engineering\08-deployment\05-cicd\GITHUB_ACTIONS.md","VALID_UTF8_CLEAN","True","False","False","","4313",""
"04-engineering\08-deployment\06-release\BLUE_GREEN_DEPLOYMENT.md","VALID_UTF8_CLEAN","True","False","False","","3075",""
"04-engineering\08-deployment\06-release\CANARY_DEPLOYMENT.md","VALID_UTF8_CLEAN","True","False","False","","3537",""
"04-engineering\08-deployment\06-release\ROLLBACK_STRATEGY.md","VALID_UTF8_CLEAN","True","False","False","","4385",""
"04-engineering\08-deployment\07-resilience\BACKUP_RECOVERY.md","VALID_UTF8_CLEAN","True","False","False","","4114",""
"04-engineering\08-deployment\07-resilience\BUSINESS_CONTINUITY.md","VALID_UTF8_CLEAN","True","False","False","","4312",""
"04-engineering\08-deployment\07-resilience\DISASTER_RECOVERY.md","VALID_UTF8_CLEAN","True","False","False","","4587",""
"04-engineering\08-deployment\08-observability\LOGGING_STANDARD.md","VALID_UTF8_CLEAN","True","False","False","","4133",""
"04-engineering\08-deployment\08-observability\METRICS_STANDARD.md","VALID_UTF8_CLEAN","True","False","False","","4293",""
"04-engineering\08-deployment\08-observability\MONITORING_ALERTING.md","VALID_UTF8_CLEAN","True","False","False","","4109",""
"04-engineering\08-deployment\08-observability\OBSERVABILITY.md","VALID_UTF8_CLEAN","True","False","False","","4177",""
"04-engineering\08-deployment\08-observability\TRACING_STANDARD.md","VALID_UTF8_CLEAN","True","False","False","","4017",""
"04-engineering\08-deployment\09-operations\INCIDENT_RESPONSE.md","VALID_UTF8_CLEAN","True","False","False","","4526",""
