"SourceFile","LineNumber","Link","ResolvedTo","Status"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","126","../02-requirements/Security/API_REQUIREMENTS.md","D:\projects\telepizza\docs\02-requirements\Security\API_REQUIREMENTS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","127","../03-architecture/DATABASE_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\DATABASE_ARCHITECTURE.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","128","../02-requirements/Operations/ORDER_MANAGEMENT_REQUIREMENTS.md","D:\projects\telepizza\docs\02-requirements\Operations\ORDER_MANAGEMENT_REQUIREMENTS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","129","../02-requirements/Operations/INVENTORY_REQUIREMENTS.md","D:\projects\telepizza\docs\02-requirements\Operations\INVENTORY_REQUIREMENTS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","130","../02-requirements/Security/SECURITY_REQUIREMENTS.md","D:\projects\telepizza\docs\02-requirements\Security\SECURITY_REQUIREMENTS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","131","../02-requirements/AI/AI_PLATFORM_REQUIREMENTS.md","D:\projects\telepizza\docs\02-requirements\AI\AI_PLATFORM_REQUIREMENTS.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","198","./DEVELOPMENT_ENVIRONMENT_SETUP.md#troubleshooting","D:\projects\telepizza\docs\04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","VALID"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","214","../../project-management/M2_REQUIREMENTS_COMPLETION.md","D:\projects\telepizza\project-management\M2_REQUIREMENTS_COMPLETION.md","BROKEN"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","215","../../project-management/M3_ARCHITECTURE_COMPLETION.md","D:\projects\telepizza\project-management\M3_ARCHITECTURE_COMPLETION.md","BROKEN"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","216","../../project-management/M4_ENGINEERING_COMPLETION.md","D:\projects\telepizza\project-management\M4_ENGINEERING_COMPLETION.md","BROKEN"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","217","../../project-management/M5_PROJECT_MANAGEMENT.md","D:\projects\telepizza\project-management\M5_PROJECT_MANAGEMENT.md","BROKEN"
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","634","./CODING_STANDARDS.md","D:\projects\telepizza\docs\04-engineering\CODING_STANDARDS.md","BROKEN"
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","635","../03-architecture/GIT_STRATEGY.md","D:\projects\telepizza\docs\03-architecture\GIT_STRATEGY.md","VALID"
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","644","../03-architecture/SYSTEM_ARCHITECTURE.md","D:\projects\telepizza\docs\03-architecture\SYSTEM_ARCHITECTURE.md","VALID"
