"RelativePath","Folder","FileName","Extension","SizeBytes","Lines"
"02-requirements\Security\SETTINGS_REQUIREMENTS.md","02-requirements\Security","SETTINGS_REQUIREMENTS.md",".md","5494","386"
"03-architecture\AI_ARCHITECTURE.md","03-architecture","AI_ARCHITECTURE.md",".md","5933","390"
"03-architecture\API_ARCHITECTURE.md","03-architecture","API_ARCHITECTURE.md",".md","5316","474"
"03-architecture\BRANCHING_STRATEGY.md","03-architecture","BRANCHING_STRATEGY.md",".md","4566","358"
"03-architecture\CI_CD_PIPELINE.md","03-architecture","CI_CD_PIPELINE.md",".md","4220","329"
"03-architecture\CODING_STANDARDS.md","03-architecture","CODING_STANDARDS.md",".md","4874","389"
"03-architecture\DATABASE_ARCHITECTURE.md","03-architecture","DATABASE_ARCHITECTURE.md",".md","7397","546"
"03-architecture\DATABASE_INDEX_STRATEGY.md","03-architecture","DATABASE_INDEX_STRATEGY.md",".md","6096","566"
"03-architecture\DATABASE_NAMING_CONVENTIONS.md","03-architecture","DATABASE_NAMING_CONVENTIONS.md",".md","8032","937"
"03-architecture\DATABASE_RELATIONSHIPS.md","03-architecture","DATABASE_RELATIONSHIPS.md",".md","16944","1528"
"03-architecture\DATABASE_SCHEMA.md","03-architecture","DATABASE_SCHEMA.md",".md","37105","2326"
"03-architecture\DEPLOYMENT_ARCHITECTURE.md","03-architecture","DEPLOYMENT_ARCHITECTURE.md",".md","4784","383"
"03-architecture\DEVOPS_ARCHITECTURE.md","03-architecture","DEVOPS_ARCHITECTURE.md",".md","4357","307"
"03-architecture\DOMAIN_DRIVEN_DESIGN.md","03-architecture","DOMAIN_DRIVEN_DESIGN.md",".md","7739","595"
"03-architecture\EVENT_DRIVEN_ARCHITECTURE.md","03-architecture","EVENT_DRIVEN_ARCHITECTURE.md",".md","5184","373"
"03-architecture\FOLDER_STRUCTURE.md","03-architecture","FOLDER_STRUCTURE.md",".md","4273","351"
"03-architecture\GIT_STRATEGY.md","03-architecture","GIT_STRATEGY.md",".md","3617","292"
"03-architecture\IMPLEMENTATION_ROADMAP.md","03-architecture","IMPLEMENTATION_ROADMAP.md",".md","5620","483"
"03-architecture\INFRASTRUCTURE_ARCHITECTURE.md","03-architecture","INFRASTRUCTURE_ARCHITECTURE.md",".md","5829","418"
"03-architecture\MICROSERVICES_ARCHITECTURE.md","03-architecture","MICROSERVICES_ARCHITECTURE.md",".md","8425","583"
"03-architecture\MONITORING_ARCHITECTURE.md","03-architecture","MONITORING_ARCHITECTURE.md",".md","4273","351"
"03-architecture\SECURITY_ARCHITECTURE.md","03-architecture","SECURITY_ARCHITECTURE.md",".md","5044","369"
"03-architecture\SYSTEM_ARCHITECTURE.md","03-architecture","SYSTEM_ARCHITECTURE.md",".md","5334","377"
"03-architecture\TECH_STACK.md","03-architecture","TECH_STACK.md",".md","4628","500"
"04-engineering\BACKEND_PROJECT_STRUCTURE.md","04-engineering","BACKEND_PROJECT_STRUCTURE.md",".md","14176","523"
"04-engineering\CICD_PIPELINE_SETUP.md","04-engineering","CICD_PIPELINE_SETUP.md",".md","12406","568"
"04-engineering\DATABASE_SETUP_GUIDE.md","04-engineering","DATABASE_SETUP_GUIDE.md",".md","1283","70"
"04-engineering\DEVELOPMENT_DOCUMENTATION_INDEX.md","04-engineering","DEVELOPMENT_DOCUMENTATION_INDEX.md",".md","8210","230"
"04-engineering\DEVELOPMENT_ENVIRONMENT_SETUP.md","04-engineering","DEVELOPMENT_ENVIRONMENT_SETUP.md",".md","10475","650"
"04-engineering\DOCKER_CONTAINER_SETUP.md","04-engineering","DOCKER_CONTAINER_SETUP.md",".md","13547","577"
"04-engineering\FRONTEND_PROJECT_STRUCTURE.md","04-engineering","FRONTEND_PROJECT_STRUCTURE.md",".md","14517","530"
"04-engineering\MOBILE_PROJECT_STRUCTURE.md","04-engineering","MOBILE_PROJECT_STRUCTURE.md",".md","16894","677"
"04-engineering\PACKAGE_JSON_SCRIPTS.md","04-engineering","PACKAGE_JSON_SCRIPTS.md",".md","2631","113"
"04-engineering\01-database\DATABASE_ENGINEERING.md","04-engineering\01-database","DATABASE_ENGINEERING.md",".md","3612","395"
"04-engineering\01-database\DATABASE_MIGRATION_GUIDE.md","04-engineering\01-database","DATABASE_MIGRATION_GUIDE.md",".md","3498","301"
"04-engineering\01-database\DATABASE_SEEDING.md","04-engineering\01-database","DATABASE_SEEDING.md",".md","3949","372"
"04-engineering\01-database\ERD.md","04-engineering\01-database","ERD.md",".md","4871","539"
"04-engineering\01-database\PRISMA_GUIDE.md","04-engineering\01-database","PRISMA_GUIDE.md",".md","4702","543"
"04-engineering\02-api\API_ERROR_HANDLING.md","04-engineering\02-api","API_ERROR_HANDLING.md",".md","4340","328"
"04-engineering\02-api\API_SPECIFICATIONS.md","04-engineering\02-api","API_SPECIFICATIONS.md",".md","4655","466"
"04-engineering\02-api\API_VERSIONING.md","04-engineering\02-api","API_VERSIONING.md",".md","3634","290"
"04-engineering\02-api\WEBHOOK_SPECIFICATIONS.md","04-engineering\02-api","WEBHOOK_SPECIFICATIONS.md",".md","4407","382"
"04-engineering\03-backend\BACKEND_BLUEPRINT.md","04-engineering\03-backend","BACKEND_BLUEPRINT.md",".md","4758","536"
"04-engineering\03-backend\EVENT_HANDLERS.md","04-engineering\03-backend","EVENT_HANDLERS.md",".md","5383","448"
"04-engineering\03-backend\MODULE_TEMPLATE.md","04-engineering\03-backend","MODULE_TEMPLATE.md",".md","4462","414"
"04-engineering\03-backend\NESTJS_GUIDELINES.md","04-engineering\03-backend","NESTJS_GUIDELINES.md",".md","4270","455"
"04-engineering\04-frontend\ACCESSIBILITY_GUIDE.md","04-engineering\04-frontend","ACCESSIBILITY_GUIDE.md",".md","5026","397"
"04-engineering\04-frontend\API_CLIENT_GUIDE.md","04-engineering\04-frontend","API_CLIENT_GUIDE.md",".md","4080","403"
"04-engineering\04-frontend\CHART_STANDARDS.md","04-engineering\04-frontend","CHART_STANDARDS.md",".md","4550","389"
"04-engineering\04-frontend\DASHBOARD_GUIDELINES.md","04-engineering\04-frontend","DASHBOARD_GUIDELINES.md",".md","4611","420"
"04-engineering\04-frontend\DATA_TABLE_GUIDE.md","04-engineering\04-frontend","DATA_TABLE_GUIDE.md",".md","4250","438"
"04-engineering\04-frontend\DESIGN_SYSTEM.md","04-engineering\04-frontend","DESIGN_SYSTEM.md",".md","3819","564"
"04-engineering\04-frontend\DESIGN_TOKENS.md","04-engineering\04-frontend","DESIGN_TOKENS.md",".md","4602","503"
"04-engineering\04-frontend\EMPTY_STATES_AND_FEEDBACK.md","04-engineering\04-frontend","EMPTY_STATES_AND_FEEDBACK.md",".md","4330","415"
"04-engineering\04-frontend\ERROR_HANDLING.md","04-engineering\04-frontend","ERROR_HANDLING.md",".md","3780","358"
"04-engineering\04-frontend\FILE_UPLOAD_GUIDE.md","04-engineering\04-frontend","FILE_UPLOAD_GUIDE.md",".md","4187","416"
"04-engineering\04-frontend\FORM_PATTERNS.md","04-engineering\04-frontend","FORM_PATTERNS.md",".md","5113","570"
"04-engineering\04-frontend\FORM_STANDARDS.md","04-engineering\04-frontend","FORM_STANDARDS.md",".md","4926","477"
"04-engineering\04-frontend\FRONTEND_BLUEPRINT.md","04-engineering\04-frontend","FRONTEND_BLUEPRINT.md",".md","3819","393"
"04-engineering\04-frontend\FRONTEND_FOLDER_STRUCTURE.md","04-engineering\04-frontend","FRONTEND_FOLDER_STRUCTURE.md",".md","4590","543"
"04-engineering\04-frontend\FRONTEND_SECURITY.md","04-engineering\04-frontend","FRONTEND_SECURITY.md",".md","5149","396"
"04-engineering\04-frontend\ICONOGRAPHY_GUIDE.md","04-engineering\04-frontend","ICONOGRAPHY_GUIDE.md",".md","4236","474"
"04-engineering\04-frontend\INTERNATIONALIZATION.md","04-engineering\04-frontend","INTERNATIONALIZATION.md",".md","4157","404"
"04-engineering\04-frontend\NAVIGATION_GUIDE.md","04-engineering\04-frontend","NAVIGATION_GUIDE.md",".md","4313","416"
"04-engineering\04-frontend\PERFORMANCE_GUIDE.md","04-engineering\04-frontend","PERFORMANCE_GUIDE.md",".md","4502","395"
"04-engineering\04-frontend\ROUTING_STRATEGY.md","04-engineering\04-frontend","ROUTING_STRATEGY.md",".md","3557","312"
"04-engineering\04-frontend\SEARCH_EXPERIENCE.md","04-engineering\04-frontend","SEARCH_EXPERIENCE.md",".md","4553","431"
"04-engineering\04-frontend\STATE_MANAGEMENT.md","04-engineering\04-frontend","STATE_MANAGEMENT.md",".md","4782","477"
"04-engineering\04-frontend\THEME_GUIDE.md","04-engineering\04-frontend","THEME_GUIDE.md",".md","3504","374"
"04-engineering\04-frontend\UI_COMPONENT_GUIDE.md","04-engineering\04-frontend","UI_COMPONENT_GUIDE.md",".md","4220","377"
"04-engineering\05-mobile\ANALYTICS_AND_TELEMETRY.md","04-engineering\05-mobile","ANALYTICS_AND_TELEMETRY.md",".md","4615","408"
"04-engineering\05-mobile\APP_RELEASE_GUIDE.md","04-engineering\05-mobile","APP_RELEASE_GUIDE.md",".md","4056","393"
"04-engineering\05-mobile\BACKGROUND_TASKS.md","04-engineering\05-mobile","BACKGROUND_TASKS.md",".md","4350","385"
"04-engineering\05-mobile\BIOMETRIC_AUTH.md","04-engineering\05-mobile","BIOMETRIC_AUTH.md",".md","4153","337"
"04-engineering\05-mobile\CAMERA_AND_SCANNER.md","04-engineering\05-mobile","CAMERA_AND_SCANNER.md",".md","4221","376"
"04-engineering\05-mobile\CRASH_REPORTING_AND_MONITORING.md","04-engineering\05-mobile","CRASH_REPORTING_AND_MONITORING.md",".md","4338","371"
"04-engineering\05-mobile\DEEP_LINKING.md","04-engineering\05-mobile","DEEP_LINKING.md",".md","3553","321"
"04-engineering\05-mobile\DEVICE_CAPABILITIES.md","04-engineering\05-mobile","DEVICE_CAPABILITIES.md",".md","3538","288"
"04-engineering\05-mobile\DOMAIN_EVENT_CATALOG.md","04-engineering\05-mobile","DOMAIN_EVENT_CATALOG.md",".md","5278","539"
"04-engineering\05-mobile\EVENT_DRIVEN_ARCHITECTURE.md","04-engineering\05-mobile","EVENT_DRIVEN_ARCHITECTURE.md",".md","5061","509"
"04-engineering\05-mobile\FEATURE_FLAGS_AND_REMOTE_CONFIG.md","04-engineering\05-mobile","FEATURE_FLAGS_AND_REMOTE_CONFIG.md",".md","4811","415"
"04-engineering\05-mobile\LOCAL_STORAGE_GUIDE.md","04-engineering\05-mobile","LOCAL_STORAGE_GUIDE.md",".md","4820","452"
"04-engineering\05-mobile\LOCATION_SERVICES.md","04-engineering\05-mobile","LOCATION_SERVICES.md",".md","3703","301"
"04-engineering\05-mobile\MOBILE_API_GUIDE.md","04-engineering\05-mobile","MOBILE_API_GUIDE.md",".md","4228","445"
"04-engineering\05-mobile\MOBILE_BLUEPRINT.md","04-engineering\05-mobile","MOBILE_BLUEPRINT.md",".md","4461","420"
"04-engineering\05-mobile\MOBILE_COMPATIBILITY_MATRIX.md","04-engineering\05-mobile","MOBILE_COMPATIBILITY_MATRIX.md",".md","4678","344"
"04-engineering\05-mobile\MOBILE_COMPONENT_GUIDE.md","04-engineering\05-mobile","MOBILE_COMPONENT_GUIDE.md",".md","4767","477"
"04-engineering\05-mobile\MOBILE_DESIGN_SYSTEM.md","04-engineering\05-mobile","MOBILE_DESIGN_SYSTEM.md",".md","3952","438"
"04-engineering\05-mobile\MOBILE_FOLDER_STRUCTURE.md","04-engineering\05-mobile","MOBILE_FOLDER_STRUCTURE.md",".md","4475","534"
"04-engineering\05-mobile\MOBILE_PERFORMANCE.md","04-engineering\05-mobile","MOBILE_PERFORMANCE.md",".md","4308","364"
"04-engineering\05-mobile\MOBILE_SECURITY.md","04-engineering\05-mobile","MOBILE_SECURITY.md",".md","4611","376"
"04-engineering\05-mobile\OFFLINE_SYNC.md","04-engineering\05-mobile","OFFLINE_SYNC.md",".md","4019","334"
"04-engineering\05-mobile\PUSH_NOTIFICATION_GUIDE.md","04-engineering\05-mobile","PUSH_NOTIFICATION_GUIDE.md",".md","4311","437"
"04-engineering\05-mobile\SECURITY_CHECKLIST.md","04-engineering\05-mobile","SECURITY_CHECKLIST.md",".md","4905","517"
"04-engineering\05-mobile\STORAGE_SCHEMA.md","04-engineering\05-mobile","STORAGE_SCHEMA.md",".md","3535","512"
"04-engineering\05-mobile\SYNC_ENGINE_ARCHITECTURE.md","04-engineering\05-mobile","SYNC_ENGINE_ARCHITECTURE.md",".md","4844","470"
"04-engineering\05-mobile\SYNC_PROTOCOL_SPECIFICATION.md","04-engineering\05-mobile","SYNC_PROTOCOL_SPECIFICATION.md",".md","4542","470"
"04-engineering\06-ai\00-overview\AI_REFERENCE_ARCHITECTURE.md","04-engineering\06-ai\00-overview","AI_REFERENCE_ARCHITECTURE.md",".md","6006","656"
"04-engineering\06-ai\00-overview\INDEX.md","04-engineering\06-ai\00-overview","INDEX.md",".md","5370","279"
"04-engineering\06-ai\00-overview\README.md","04-engineering\06-ai\00-overview","README.md",".md","3782","316"
"04-engineering\06-ai\01-foundation\AI_ARCHITECTURE.md","04-engineering\06-ai\01-foundation","AI_ARCHITECTURE.md",".md","4321","402"
"04-engineering\06-ai\01-foundation\AI_CONSTITUTION.md","04-engineering\06-ai\01-foundation","AI_CONSTITUTION.md",".md","5539","359"
"04-engineering\06-ai\01-foundation\AI_DECISION_ENGINE.md","04-engineering\06-ai\01-foundation","AI_DECISION_ENGINE.md",".md","4419","395"
"04-engineering\06-ai\01-foundation\AI_ENGINEERING.md","04-engineering\06-ai\01-foundation","AI_ENGINEERING.md",".md","4030","300"
"04-engineering\06-ai\01-foundation\AI_GOVERNANCE.md","04-engineering\06-ai\01-foundation","AI_GOVERNANCE.md",".md","4490","403"
"04-engineering\06-ai\01-foundation\AI_SECURITY.md","04-engineering\06-ai\01-foundation","AI_SECURITY.md",".md","4536","343"
"04-engineering\06-ai\02-agents\AGENT_DEVELOPMENT_GUIDE.md","04-engineering\06-ai\02-agents","AGENT_DEVELOPMENT_GUIDE.md",".md","3749","322"
"04-engineering\06-ai\02-agents\AGENT_LIFECYCLE.md","04-engineering\06-ai\02-agents","AGENT_LIFECYCLE.md",".md","4129","371"
"04-engineering\06-ai\02-agents\AGENT_PERMISSION_MATRIX.md","04-engineering\06-ai\02-agents","AGENT_PERMISSION_MATRIX.md",".md","5438","457"
"04-engineering\06-ai\02-agents\AGENT_REGISTRY.md","04-engineering\06-ai\02-agents","AGENT_REGISTRY.md",".md","4059","339"
"04-engineering\06-ai\02-agents\AI_AGENT_COMMUNICATION_PROTOCOL.md","04-engineering\06-ai\02-agents","AI_AGENT_COMMUNICATION_PROTOCOL.md",".md","4529","379"
"04-engineering\06-ai\02-agents\HUMAN_APPROVAL_WORKFLOWS.md","04-engineering\06-ai\02-agents","HUMAN_APPROVAL_WORKFLOWS.md",".md","5102","440"
"04-engineering\06-ai\03-prompts\PROMPT_ENGINEERING.md","04-engineering\06-ai\03-prompts","PROMPT_ENGINEERING.md",".md","3325","285"
"04-engineering\06-ai\03-prompts\PROMPT_LIBRARY.md","04-engineering\06-ai\03-prompts","PROMPT_LIBRARY.md",".md","3450","359"
"04-engineering\06-ai\04-models\MODEL_CAPABILITY_MATRIX.md","04-engineering\06-ai\04-models","MODEL_CAPABILITY_MATRIX.md",".md","3935","272"
"04-engineering\06-ai\04-models\MODEL_ROUTING.md","04-engineering\06-ai\04-models","MODEL_ROUTING.md",".md","4285","355"
"04-engineering\06-ai\04-models\TOKEN_AND_COST_MANAGEMENT.md","04-engineering\06-ai\04-models","TOKEN_AND_COST_MANAGEMENT.md",".md","3608","283"
"04-engineering\06-ai\05-context\AI_MEMORY_ENGINE.md","04-engineering\06-ai\05-context","AI_MEMORY_ENGINE.md",".md","4872","417"
"04-engineering\06-ai\05-context\CONTEXT_ENGINE.md","04-engineering\06-ai\05-context","CONTEXT_ENGINE.md",".md","4305","353"
"04-engineering\06-ai\05-context\KNOWLEDGE_BASE_ARCHITECTURE.md","04-engineering\06-ai\05-context","KNOWLEDGE_BASE_ARCHITECTURE.md",".md","4077","392"
"04-engineering\06-ai\05-context\RAG_ARCHITECTURE.md","04-engineering\06-ai\05-context","RAG_ARCHITECTURE.md",".md","4528","393"
"04-engineering\06-ai\06-tools\MCP_INTEGRATION.md","04-engineering\06-ai\06-tools","MCP_INTEGRATION.md",".md","4015","346"
"04-engineering\06-ai\06-tools\TOOL_CALLING_STANDARD.md","04-engineering\06-ai\06-tools","TOOL_CALLING_STANDARD.md",".md","4264","384"
"04-engineering\06-ai\06-tools\TOOL_PERMISSION_MATRIX.md","04-engineering\06-ai\06-tools","TOOL_PERMISSION_MATRIX.md",".md","4500","361"
"04-engineering\06-ai\06-tools\TOOL_REGISTRY.md","04-engineering\06-ai\06-tools","TOOL_REGISTRY.md",".md","4194","358"
"04-engineering\06-ai\07-workflows\AI_RATE_LIMITING.md","04-engineering\06-ai\07-workflows","AI_RATE_LIMITING.md",".md","4200","344"
"04-engineering\06-ai\07-workflows\AI_WORKFLOW_ENGINE.md","04-engineering\06-ai\07-workflows","AI_WORKFLOW_ENGINE.md",".md","5108","499"
"04-engineering\06-ai\08-operations\AI_EVALUATION_FRAMEWORK.md","04-engineering\06-ai\08-operations","AI_EVALUATION_FRAMEWORK.md",".md","3959","316"
"04-engineering\06-ai\08-operations\AI_OBSERVABILITY.md","04-engineering\06-ai\08-operations","AI_OBSERVABILITY.md",".md","4020","326"
"04-engineering\06-ai\09-ai-workforce\AI_COLLABORATION_GUIDE.md","04-engineering\06-ai\09-ai-workforce","AI_COLLABORATION_GUIDE.md",".md","4717","339"
"04-engineering\06-ai\09-ai-workforce\AI_COMPENSATION_MODEL.md","04-engineering\06-ai\09-ai-workforce","AI_COMPENSATION_MODEL.md",".md","4305","294"
"04-engineering\06-ai\09-ai-workforce\AI_DEPARTMENTS.md","04-engineering\06-ai\09-ai-workforce","AI_DEPARTMENTS.md",".md","5126","382"
"04-engineering\06-ai\09-ai-workforce\AI_HIRING_AND_RETIREMENT.md","04-engineering\06-ai\09-ai-workforce","AI_HIRING_AND_RETIREMENT.md",".md","5070","350"
"04-engineering\06-ai\09-ai-workforce\AI_JOB_DESCRIPTIONS.md","04-engineering\06-ai\09-ai-workforce","AI_JOB_DESCRIPTIONS.md",".md","5451","487"
"04-engineering\06-ai\09-ai-workforce\AI_KPI_FRAMEWORK.md","04-engineering\06-ai\09-ai-workforce","AI_KPI_FRAMEWORK.md",".md","4515","339"
"04-engineering\06-ai\09-ai-workforce\AI_ORGANIZATION_CHART.md","04-engineering\06-ai\09-ai-workforce","AI_ORGANIZATION_CHART.md",".md","3954","319"
"04-engineering\06-ai\09-ai-workforce\AI_PERFORMANCE_REVIEWS.md","04-engineering\06-ai\09-ai-workforce","AI_PERFORMANCE_REVIEWS.md",".md","4426","327"
"04-engineering\07-testing\00-overview\INDEX.md","04-engineering\07-testing\00-overview","INDEX.md",".md","5431","272"
"04-engineering\07-testing\00-overview\README.md","04-engineering\07-testing\00-overview","README.md",".md","4008","301"
"04-engineering\07-testing\00-overview\TESTING_STRATEGY.md","04-engineering\07-testing\00-overview","TESTING_STRATEGY.md",".md","5089","372"
"04-engineering\07-testing\01-unit\MOCKING_GUIDELINES.md","04-engineering\07-testing\01-unit","MOCKING_GUIDELINES.md",".md","4635","344"
"04-engineering\07-testing\01-unit\TEST_NAMING_CONVENTIONS.md","04-engineering\07-testing\01-unit","TEST_NAMING_CONVENTIONS.md",".md","3510","293"
"04-engineering\07-testing\01-unit\UNIT_TESTING_STANDARD.md","04-engineering\07-testing\01-unit","UNIT_TESTING_STANDARD.md",".md","4216","317"
"04-engineering\07-testing\02-integration\API_TESTING_STANDARD.md","04-engineering\07-testing\02-integration","API_TESTING_STANDARD.md",".md","4247","320"
"04-engineering\07-testing\02-integration\DATABASE_TESTING.md","04-engineering\07-testing\02-integration","DATABASE_TESTING.md",".md","4245","320"
"04-engineering\07-testing\02-integration\INTEGRATION_TESTING.md","04-engineering\07-testing\02-integration","INTEGRATION_TESTING.md",".md","4130","293"
"04-engineering\07-testing\03-e2e\CROSS_PLATFORM_TESTING.md","04-engineering\07-testing\03-e2e","CROSS_PLATFORM_TESTING.md",".md","4571","337"
"04-engineering\07-testing\03-e2e\E2E_TESTING.md","04-engineering\07-testing\03-e2e","E2E_TESTING.md",".md","3569","262"
"04-engineering\07-testing\03-e2e\USER_JOURNEY_TESTS.md","04-engineering\07-testing\03-e2e","USER_JOURNEY_TESTS.md",".md","4198","456"
"04-engineering\07-testing\04-performance\LOAD_TESTING.md","04-engineering\07-testing\04-performance","LOAD_TESTING.md",".md","3535","253"
"04-engineering\07-testing\04-performance\PERFORMANCE_TESTING.md","04-engineering\07-testing\04-performance","PERFORMANCE_TESTING.md",".md","4303","299"
"04-engineering\07-testing\04-performance\SCALABILITY_TESTING.md","04-engineering\07-testing\04-performance","SCALABILITY_TESTING.md",".md","4598","333"
"04-engineering\07-testing\04-performance\STRESS_TESTING.md","04-engineering\07-testing\04-performance","STRESS_TESTING.md",".md","3874","284"
"04-engineering\07-testing\05-security\AUTHENTICATION_TESTS.md","04-engineering\07-testing\05-security","AUTHENTICATION_TESTS.md",".md","4236","296"
"04-engineering\07-testing\05-security\AUTHORIZATION_TESTS.md","04-engineering\07-testing\05-security","AUTHORIZATION_TESTS.md",".md","4974","309"
"04-engineering\07-testing\05-security\PENETRATION_TESTING.md","04-engineering\07-testing\05-security","PENETRATION_TESTING.md",".md","4511","298"
"04-engineering\07-testing\05-security\SECURITY_TESTING.md","04-engineering\07-testing\05-security","SECURITY_TESTING.md",".md","4283","295"
"04-engineering\07-testing\06-mobile\DEVICE_TESTING_MATRIX.md","04-engineering\07-testing\06-mobile","DEVICE_TESTING_MATRIX.md",".md","4198","286"
"04-engineering\07-testing\06-mobile\MOBILE_TESTING.md","04-engineering\07-testing\06-mobile","MOBILE_TESTING.md",".md","4172","306"
"04-engineering\07-testing\06-mobile\OFFLINE_TESTING.md","04-engineering\07-testing\06-mobile","OFFLINE_TESTING.md",".md","4285","324"
"04-engineering\07-testing\07-ai\AI_REGRESSION_TESTING.md","04-engineering\07-testing\07-ai","AI_REGRESSION_TESTING.md",".md","5288","375"
"04-engineering\07-testing\07-ai\AI_TESTING.md","04-engineering\07-testing\07-ai","AI_TESTING.md",".md","3915","292"
"04-engineering\07-testing\07-ai\MODEL_EVALUATION.md","04-engineering\07-testing\07-ai","MODEL_EVALUATION.md",".md","4390","331"
